# English loanwords as they appear in Devanagari Hindi transcripts -> standard English spelling.
# Built from the ~2,500 most frequent words in the IndicVoices Hindi transcripts (valid + first train shard).
# Ambiguous forms (e.g. पी = "P" or "drink", वेट = "wait" or "weight") are deliberately left out.
# devanagari	english
सर	sir
पुलिस	police
ड्राइवर	driver
ड्राइविंग	driving
बेड	bed
प्राइवेट	private
मॉडल	model
वेज	veg
एक्स्ट्रा	extra
कॉपी	copy
डिज़िलॉकर	DigiLocker
नॉर्मल	normal
लाइट	light
ड्रेस	dress
बड्डे	birthday
पिक्चर	picture
ड्रॉइंग	drawing
ड्राइंग	drawing
बॉडी	body
प्लेट	plate
मैच	match
मैचिंग	matching
सेंड	send
प्रोसेस	process
अकाउंट	account
प्लान	plan
समथिंग	something
सीजन	season
मसाज	massage
लिमिटेड	limited
मॉर्निंग	morning
एजेंसी	agency
टूर	tour
फिटिंग	fitting
एक्सरसाइज	exercise
ट्रिप	trip
लोकल	local
मीटर	metre
हाई	high
कैश	cash
वोट	vote
व्होट	vote
मेकअप	makeup
फॉर्म	form
मंथ	month
रेड	red
फाइनेंस	finance
रिलैक्स	relax
चेंज	change
मीडिया	media
ब्लॉग	blog
जंप	jump
फेसबुक	Facebook
हेल्प	help
कंप्लीट	complete
गार्ड	guard
डाउनलोड	download
टाइमिंग	timing
पॉलिसी	policy
इंडिया	India
इण्डिया	India
टेबल	table
टेबुल	table
टेस्ट	test
आइसक्रीम	ice-cream
सिस्टम	system
हेलमेट	helmet
इस्क्रीन	screen
स्क्रीन	screen
पेंटिंग	painting
पेन्टिन्ग	painting
सेलिब्रेट	celebrate
प्रॉपर्टी	property
फर्स्ट	first
केस	case
डिलीवरी	delivery
डिलेवरी	delivery
पार्लर	parlour
बाथरूम	bathroom
पेंट	paint
संडे	Sunday
मंडे	Monday
लोकेशन	location
लोकेसन	location
पोस्ट	post
बेस्ट	best
पैक	pack
पैकेट	packet
बेग	bag
बैग	bag
ब्रांड	brand
कस्टमर	customer
डबल	double
फिट	fit
फ़िट	fit
एक्सपीरिएन्स	experience
टूरिस्ट	tourist
अवेलेबल	available
डुप्लिकेट	duplicate
पेटीकोट	petticoat
मनी	money
टिकट	ticket
साइन	sign
अदर	other
ब्लाउज	blouse
टेंशन	tension
टेंसन	tension
टेन्सन	tension
ग्राउंड	ground
इस्टेट	estate
स्टार्ट	start
इस्टार्ट	start
एक्चुअली	actually
फर्नीचर	furniture
देन	then
मेल	mail
फेस	face
बैटरी	battery
साइज	size
साइज़	size
फाइनल	final
सेम	same
कॉटन	cotton
सिटी	city
प्रोडक्ट	product
कोर्स	course
प्लस	plus
गोल्ड	gold
फ़ील	feel
फील	feel
सब्जेक्ट	subject
गुड	good
कैब	cab
बाय	bye
एम्बुलेंस	ambulance
फुटबॉल	football
पोलियो	polio
लॉकडाउन	lockdown
पिच	pitch
सेल्फी	selfie
फेमस	famous
होमबर्क	homework
होमवर्क	homework
वेलकम	welcome
नोट	note
रिफ़ंड	refund
पेनाल्टी	penalty
कटिंग	cutting
सॉरी	sorry
प्रोग्राम	programme
स्टेट	state
पासबुक	passbook
ट्रैवल	travel
एजेंट	agent
प्राइज़	prize
बैकअप	backup
जर्नलिस्ट	journalist
एग्जाम	exam
इग्जाम	exam
ऐप्लिकेसन	application
सीटर	seater
गूगल	Google
मिक्स	mix
मिक्सर	mixer
मिक्सी	mixie
स्वेटर	sweater
ब्लड	blood
एटलस	atlas
अमेरिका	America
चिकन	chicken
पेट्रोल	petrol
लेबर	labour
टोटल	total
गैरेंटी	guarantee
फुल	full
ऑइल	oil
थ्रू	through
ब्रांच	branch
योगा	yoga
वर्क	work
क्रीम	cream
सलौन	salon
लूडो	Ludo
कोड	code
लाइब्रेरी	library
पिन	pin
प्लाट	plot
सीमेंट	cement
टेम्पल	temple
फिल	fill
प्रूफ	proof
फ़ोनपे	PhonePe
फोनपे	PhonePe
पेटीएम	Paytm
ऑफ	off
सपोर्ट	support
ऐप	app
पावर	power
सॉल्व	solve
लेवल	level
बोर्ड	board
गार्जियन	guardian
सोफा	sofa
हाफ	half
सैमसंग	Samsung
बेटर	better
इंच	inch
सुपर	super
ओह	oh
अप	up
प्लीज़	please
प्लीज	please
फ्रेश	fresh
चैन	chain
कवर	cover
कार्ट	cart
बैडमिंटन	badminton
रेंजर	ranger
न्यू	new
नॉन	non
पिज्जा	pizza
हेयर	hair
फ्रूट	fruit
समर	summer
केक	cake
फैक्ट्री	factory
मीडियम	medium
गवर्नमेंट	government
हैंडबैग	handbag
बटर	butter
सेमेस्टर	semester
सिलेबस	syllabus
वाटर	water
कैरेट	carat
गाइड	guide
कैंपस	campus
इंस्टाग्राम	Instagram
सेल्समैन	salesman
कूलर	cooler
हाइवे	highway
फोर्ट	fort
पास्ता	pasta
शेयर	share
फीट	feet
किचन	kitchen
टेनिस	tennis
क्लिनिक	clinic
इस्टेसन	station
स्टेशन	station
क्लियर	clear
रेलवे	railway
ब्यूटी	beauty
साउथ	south
हार्ड	hard
क्लेम	claim
वेडिंग	wedding
स्टेप	step
ड्रोन	drone
कॉर्पोरेशन	corporation
लाइसेंस	licence
सिंगल	single
बैलेंस	balance
ब्लीच	bleach
ग्रीन	green
इंटरनेट	internet
पर्सनल	personal
ट्रांसफ़र	transfer
इंटरेस्ट	interest
एक्टिव	active
फ्राई	fry
ब्रेक	break
जूस	juice
फिल्म	film
फ़िल्में	films
प्ले	play
ड्रम	drum
वन	one
टू	two
थ्री	three
फोर	four
फ़ोर	four
फाइव	five
फ़ाइव	five
सिक्स	six
सेवन	seven
सेवेन	seven
एट	eight
ऐट	eight
नाइन	nine
डी	D
एस	S
एम	M
एल	L
बी	B
वी	V
एन	N
आर	R
एच	H
एफ़	F
डब्ल्यू	W
एक्स	X
क्यू	Q
मैथ	math
मैथ्स	maths
वीक	week
डाउन	down
पैरेंट्स	parents
पेरेंट्स	parents
रिस्पॉन्सिबिलिटी	responsibility
टॉपिक	topic
पनिशमेंट	punishment
कंप्लेंट	complaint
कप्लेंट	complaint
रिवीजन	revision
स्टे	stay
बैक	back
मैसेज	message
मेसेज	message
रिचार्ज	recharge
नेटवर्क	network
सिम	SIM
डेटा	data
डाटा	data
वाईफाई	Wi-Fi

# ---- mined automatically from Vaani train transcripts (scripts/mine_loanwords.py) ----
बिल्डिंग	building
गेट	gate
व्हाइट	white
ब्लैक	black
ब्लू	blue
वाइट	white
पोस्टर	poster
चेयर	chair
जिम	gym
इमेज	image
हॉल	hall
गार्डन	garden
येलो	yellow
स्टेज	stage
काउंटर	counter
पिंक	pink
एंड	and
ऑरेंज	orange
स्कूटी	scooty
ऑटो	auto
लाइटें	light
टाइल्स	tiles
मॉल	mall
बैनर	banner
डेकोरेशन	decoration
लाइटिंग	lighting
शोरूम	showroom
पाइप	pipe
लाइट्स	lights
स्टोर	store
ब्राउन	brown
बॉक्स	box
चर्च	church
टीशर्ट	t-shirt
ब्रिज	bridge
बाउंड्री	boundary
रेलिंग	railing
शटर	shutter
पिलर	pillar
बैलून	balloon
फैन	fan
मोटरसाइकिल	motorcycle
टावर	tower
बेंच	bench
लाइटे	light
ग्रे	grey
लेडीज	ladies
स्टैंड	stand
टायर	tyre
ट्रक	truck
स्टील	steel
रैक	rack
जेंट्स	gents
टेंट	tent
चेयर्स	chairs
पार्किंग	parking
पोल	pole
रिक्शा	rickshaw
सीन	scene
कारपेट	carpet
ग्रिल	grill
एटीएम	a.t.m
अंकल	uncle
लेडिस	ladies
डस्टबिन	dustbin
मास्क	mask
फील्ड	field
बुक्स	books
मैट	mat
फ्रिज	fridge
डेकोरेट	decorate
फ्लोर	floor
सोफे	sofa
लैपटॉप	laptop
फंक्शन	function
गोल्डन	golden
विंडो	window
स्विमिंग	swimming
जींस	jeans
फ्लावर	flower
कैफे	cafe
स्टूल	stool
मशीने	machine
कॉफी	coffee
बोट	boat
टीन	tin
ग्लास	glass
मिरर	mirror
सीलिंग	ceiling
व्यू	view
राइट	right
व्हीलर	wheeler
बॉटल	bottle
मोटर	motor
मशीनें	machine
कप	cup
पर्पल	purple
डैम	dam
बॉल	ball
लेफ्ट	left
बिल्डिंग्स	buildings
पिक	pic
जैकेट	jacket
येल्लो	yellow
हाउस	house
बलून	balloon
मेडिकल	medical
एसी	a.c
साइकल	cycle
व्हाईट	white
वॉल	wall
कोचिंग	coaching
टाइल	tile
कार्टून	cartoon
शो	show
बाइक्स	bikes
वायर	wire
चॉकलेट	chocolate
टेबल्स	tables
इलेक्ट्रॉनिक	electronic
पैलेस	palace
जस्ट	just
मार्बल	marble
कंस्ट्रक्शन	construction
फ्रेम	frame
स्टेडियम	stadium
लेडिज	ladies
स्कूटर	scooter
सिल्वर	silver
नर्सरी	nursery
गिटार	guitar
फ्लावर्स	flowers
चिप्स	chips
कैप	cap
प्लांट	plant
स्विच	switch
कोट	coat
कार्पेट	carpet
इंडियन	indian
जीन्स	jeans
बिस्किट	biscuit
एण्ड	and
प्लेटफार्म	platform
पब्लिक	public
बाइके	bike
गैरेज	garage
गाइस	guys
पॉट	pot
स्टेचू	statue
क्लिक	click
ग्राउन्ड	ground
वर्कर	worker
बॉक्सेस	boxes
लेडी	lady
फ्रूट्स	fruits
इलेक्ट्रिक	electric
शेप	shape
ऑफ़	of
स्टूडेंट	student
ट्रे	tray
टैंक	tank
डोर	door
फिश	fish
एक्टिवा	activa
बैकग्राउंड	background
लाईट	light
पोस्टर्स	posters
स्काई	sky
स्टार	star
बर्थडे	birthday
स्पीकर	speaker
स्टैचू	statue
नेट	net
बेडरूम	bedroom
आंटी	aunty
केबिन	cabin
बॉर्डर	border
जनरल	general
स्टॉल	stall
बोटल	bottle
बेकरी	bakery
पेंसिल	pencil
रेल	rail
ओपन	open
स्टॉप	stop
डेरी	dairy
वैन	van
क्रॉस	cross
एयरपोर्ट	airport
टॉवर	tower
बालकनी	balcony
बिस्कुट	biscuit
फ्लैग	flag
क्लासरूम	classroom
वाईट	white
बसे	bus
आइटम	item
स्टाइल	style
टॉप	top
फ्रॉक	frock
रिसेप्शन	reception
प्लांट्स	plants
स्टीकर	sticker
मैकेनिक	mechanic
डेस्क	desk
शेल्फ	shelf
मोटरसाइकल	motorcycle
कारें	car
पिलर्स	pillars
साईड	side
पार्ट	part
केयर	care
ट्रैक	track
क्लीनिक	clinic
एंट्री	entry
लैंप	lamp
स्कैनर	scanner
ट्री	tree
रॉड	rod
टिन	tin
फिटनेस	fitness
एयरटेल	airtel
प्लेस	place
पिज़्ज़ा	pizza
ज्वेलरी	jewellery
शूज	shoes
कारे	car
सिलेंडर	cylinder
प्रेस	press
डीजे	d.j
फूड	food
हैंगर	hanger
ऑयल	oil
ब्ल्यू	blue
रिपेयर	repair
शैंपू	shampoo
ट्यूबलाइट	tubelight
गिफ्ट	gift
स्लाइड	slide
पार्ट्स	parts
पेशेंट	patient
माउस	mouse
बर्गर	burger
क्रेन	crane
सोलर	solar
जनरेटर	generator
लुक	look
कैफ़े	cafe
ट्रैन	train
टब	tub
ग्रीनरी	greenery
बसें	bus
चैनल	channel
लाइटों	light
डीजल	diesel
ब्लर	blur
फाउंटेन	fountain
मल्टी	multi
बॉटल्स	bottles
डिफरेंट	different
हैंड	hand
मार्ट	mart
एरोप्लेन	aeroplane
डमी	dummy
डार्क	dark
टेंपो	tempo
जेन्ट्स	gents
लैब	lab
विंडोज	windows
कॉफ़ी	coffee
प्लेग्राउंड	playground
प्रिंट	print
गैराज	garage
वर्कर्स	workers
ग्रास	grass
राउंड	round
शॉप्स	shops
रेक	rack
होम	home
फार्म	farm
ऑन	on
इंस्टिट्यूट	institute
स्पोर्ट्स	sports
चार्ट	chart
सुजुकी	suzuki
मैरिज	marriage
होंडा	honda
कार्स	cars
कैलेंडर	calendar
बैट	bat
ब्यूटीफुल	beautiful
स्टाल	stall
हार्डवेयर	hardware
अलमीरा	almirah
प्रिंटर	printer
यूनिवर्सिटी	university
वर्कशॉप	workshop
कंटेनर	container
शीट	sheet
सॉस	sauce
पेप्सी	pepsi
म्यूजिक	music
पिक्चर्स	pictures
बलूंस	balloons
बुलेट	bullet
रैलिंग	railing
वॉश	wash
इंजन	engine
टूल	tool
बुके	book
क्लासेस	classes
बॉयज	boys
गैलरी	gallery
रिपेयरिंग	repairing
कॉस्मेटिक	cosmetic
क्लीन	clean
हाईवे	highway
वैरायटी	variety
ग्रील	grill
पिल्लर	pillar
गर्ल्स	girls
जीप	jeep
डंबल	dumbbell
ब्रेड	bread
बेडशीट	bedsheet
अपार्टमेंट	apartment
क्लब	club
बाइकें	bikes
बॉउंड्री	boundary
डिवाइडर	divider
रिबन	ribbon
आर्ट	art
कोल्ड	cold
प्लेट्स	plates
थिंक	think
पैकेट्स	packets
लाइटस	lights
कॉलोनी	colony
लाइनिंग	lining
वर्कआउट	workout
एन्जॉय	enjoy
कॉर्नर	corner
पर्सन	person
साइट	site
पाउडर	powder
एंट्रेंस	entrance
बास्केट	basket
स्टूडियो	studio
पेपर्स	papers
वायर्स	wires
प्लास्टर	plaster
टीम	team
जीम	gym
कोच	coach
डिश	dish
पैसेंजर	passenger
साउंड	sound
रेल्वे	railway
बिल्डिंगें	building
ज्वेलर्स	jewellers
लिफ्ट	lift
सीनरी	scenery
टैटू	tattoo
टीचर्स	teachers
ट्रेनिंग	training
फेन	fan
वाल	wall
ट्रॉली	trolley
इलेक्ट्रॉनिक्स	electronics
साइडों	side
टॉयलेट	toilet
कॉरिडोर	corridor
लोअर	lower
ब्लेक	black
आइटम्स	items
स्टैन्ड	stand
टेबले	table
टेम्पो	tempo
टैंकर	tanker
फ्रंट	front
डेयरी	dairy
एंगल	angle
स्टूडेंट्स	students
यलो	yellow
पॉइंट	point
बेंचेस	benches
एप्पल	apple
टेप	tape
नेशनल	national
फ्रेंड्स	friends
डिजाइनिंग	designing
शोकेस	showcase
टिशू	tissue
पैकिंग	packing
कैंपर	camper
प्लेटें	plate
टाइलें	tile
टैक्सी	taxi
लोवर	lower
ऑक्सीजन	oxygen
बटन	button
स्पेस	space
फेविकोल	fevicol
लेडीज़	ladies
टेडी	teddy
लेडीस	ladies
सर्कल	circle
फ्लैट	flat
मीटिंग	meeting
शैम्पू	shampoo
लाइटो	light
इंस्ट्रूमेंट	instrument
कीबोर्ड	keyboard
सायकल	cycle
गाइज	guys
जार	jar
फुटपाथ	footpath
स्प्रे	spray
टायर्स	tyres
बाईक	bike
मेट	mat
साईकल	cycle
मैरून	maroon
टाटा	tata
डॉल	doll
एसबीआई	s.b.i
गेस्ट	guest
कॉम्प्लेक्स	complex
ग्रुप	group
फ़ूड	food
मोबाईल	mobile
हीरो	hero
पॉलिथीन	polythene
पियानो	piano
फोकस	focus
कैन	can
स्टाइलिश	stylish
वॉच	watch
स्पून	spoon
हॉस्टल	hostel
लॉक	lock
प्रैक्टिस	practice
कैंप	camp
क्रिसमस	christmas
लोड	load
बैग्स	bags
मिल्क	milk
ट्रांसफार्मर	transformer
ब्लॅक	black
ऑपरेशन	operation
आर्टिफिशियल	artificial
वीवो	vivo
टेस्टी	tasty
सोफ़ा	sofa
हारमोनियम	harmonium
रोड़	road
सोसाइटी	society
स्वीट्स	sweets
फादर	father
ट्यूब	tube
रिलेटेड	related
ओपनिंग	opening
एकेडमी	academy
टेबलें	table
कैंडल	candle
वाश	wash
बैलून्स	balloons
साइकिले	cycle
फैक्टरी	factory
व्हीकल	vehicle
वर्ल्ड	world
प्लेटफॉर्म	platform
सेटअप	setup
जंक्शन	junction
फेस्टिवल	festival
ड्राई	dry
पिकनिक	picnic
गार्डेन	garden
ओरेंज	orange
नाइट	night
मशीनस	machines
कबर्ड	cupboard
गोडाउन	godown
डॉट	dot
आउट	out
बॉय	boy
एंजॉय	enjoy
अमूल	amul
बैलूंस	balloons
इवेंट	event
फाइल	file
कुलर	cooler
ड्रेसिंग	dressing
बाईकें	bike
फीमेल	female
वॉटर	water
रिंग	ring
रॉयल	royal
काउन्टर	counter
स्कुल	school
वायरिंग	wiring
एयर	air
डिजिटल	digital
पाईप	pipe
फैंसी	fancy
फ्रीजर	freezer
डिजाईन	design
पिलो	pillow
बाउल	bowl
सनसेट	sunset
मशीन्स	machines
यूनिफॉर्म	uniform
टाइप्स	types
सेण्टर	center
वाशिंग	washing
वॉलीबॉल	volleyball
कंपाउंड	compound
फोटोस	photos
पेंटिंग्स	paintings
फायर	fire
वार्ड	ward
यूनियन	union
हैप्पी	happy
साइंस	science
नर्स	nurse
गोदरेज	godrej
बोलेरो	bolero
सेलिब्रेशन	celebration
मशीनों	machine
डेम	dam
स्मार्ट	smart
प्रोजेक्टर	projector
टूल्स	tools
स्टेयर्स	stairs
डस्ट्बिन	dustbin
कैबिन	cabin
मार्किट	market
टाई	tie
एचडीएफसी	h.d.f.c
सैनिटाइजर	sanitizer
मेमोरियल	memorial
प्लाई	ply
रिमोट	remote
बकेट	bucket
नेम	name
आर्मी	army
यूनिक	unique
पॉट्स	pots
ब्लॉक	block
प्लग	plug
अँड	and
ड्रिंक्स	drinks
साईकिल	cycle
वेटिंग	waiting
डेक्स	desk
स्किन	skin
स्ट्रीट	street
इलेक्ट्रिकल	electrical
इंजीनियर	engineer
फेशियल	facial
एलसीडी	l.c.d
बोतले	bottle
लाइफ	life
पाउच	pouch
वॉक	walk
ट्रीटमेंट	treatment
बेबी	baby
म्यूजियम	museum
क्राफ्ट	craft
सिनेमा	cinema
प्लॉट	plot
फाउंडेशन	foundation
मॉनिटर	monitor
आयरन	iron
हेल्लो	hello
सर्किट	circuit
सिंबल	symbol
मेनू	menu
ट्रीज	trees
साइडो	side
इमेज़	image
कुशन	cushion
ट्रेडमिल	treadmill
इलेक्ट्रिसिटी	electricity
कॉम्बिनेशन	combination
वाइट{व्हाइट}	white
माक्स	mask
बलून्स	balloons
सर्टिफिकेट	certificate
सीमेंटेड	cemented
ऐंड	and
स्ट्रक्चर	structure
प्रेयर	prayer
सप्लाई	supply
पिकअप	pickup
बसों	bus
मारुती	maruti
स्ट्रेट	street
विंडोज़	windows
मैप	map
फॅमिली	family
स्टार्स	stars
अकेडमी	academy
किड्स	kids
लाईन	line
मास्टर	master
रूम्स	rooms
ट्वेंटी	twenty
फास्ट	fast
स्वीट	sweet
स्प्राइट	sprite
लव	love
होल्डिंग	holding
क्रेट	crate
बैंड	band
बसेस	buses
नर्सिंग	nursing
कर्टन	curtain
लॉन्ड्री	laundry
क्रिश्चियन	christian
सिस्टर	sister
पेट्रोलियम	petroleum
स्टाफ	staff
हैंडल	handle
ब्लूटूथ	bluetooth
स्कॉर्पियो	scorpio
फ्रीज	fridge
बैड	bed
ग्रोसरी	grocery
चैर	chair
टॉवल	towel
फ्लाइट	flight
ट्रॉफी	trophy
बेल्ट	belt
रिवर	river
स्लैब	slab
कैलकुलेटर	calculator
लेज	lays
मेडिसिन	medicine
एंबुलेंस	ambulance
डिस्प्ले	display
चॉकलेट्स	chocolates
मोटरसाइकिलें	motorcycle
राइस	rice
स्टिकर	sticker
राईट	right
हेंगर	hanger
हॉकी	hockey
गेराज	garage
कंडक्टर	conductor
बास्केटबॉल	basketball
हेल्थ	health
फैसिलिटी	facility
डिजाइनर	designer
फैशन	fashion
गॉड	god
किट	kit
ग्लोबल	global
ग्लासेस	glasses
फैंस	fans
यूस	use
यल्लो	yellow
रेस्ट	rest
स्टेंड	stand
टॉय	toy
सिंक	sink
रबर	rubber
ग्लव्स	gloves
प्रेशर	pressure
गारमेंट्स	garments
इंजॉय	enjoy
ब्लाक	black
इंस्टीट्यूट	institute
बोर्ड्स	boards
आयल	oil
सोनी	sony
लंच	lunch
पेज	page
कुकर	cooker
बंडल	bundle
स्कूटियां	scooty
टॉयज	toys
रजिस्टर	register
डॉग	dog
टेलर	tailor
रिपेरिंग	repairing
फॉल	fall
होर्डिंग	hoarding
नेचुरल	natural
साइकिल्स	cycles
मूवी	movie
वॉल्स	walls
फोटोज	photos
बाउंड्रीज	boundaries
डिग्री	degree
कटर	cutter
हार्ट	heart
पेट्स	pets
हेड	head
रोल	roll
करंट	current
सर्किल	circle
शॉल	shawl
टिश्यू	tissue
बूके	book
चिल्ड्रन	children
स्लाइडिंग	sliding
फिल्ड	field
परफॉर्म	perform
वॉटरफॉल	waterfall
सिक्योरिटी	security
ओटो	auto
ऑटोमोबाइल	automobile
प्वाइंट	point
डांसिंग	dancing
सेन्टर	center
जैंट्स	gents
रेडी	ready
रेस	race
पेंस	pens
कोलगेट	colgate
नाईट	night
शोपीस	showpiece
इंटरनेशनल	international
ब्रश	brush
एलजी	l.g
ड्रेसेस	dresses
शिप	ship
रियलमी	realme
लॉन	lawn
गोल्डेन	golden
कैंटीन	canteen
विजिट	visit
फ्लोरिंग	flooring
सेफ्टी	safety
मेगा	mega
व्हीकल्स	vehicles
स्नैक्स	snacks
स्लाइडर	slider
इंटरप्राइजेज	enterprises
टॉफी	toffee
नॉनवेज	nonveg
बर्ड	bird
स्टेच्यू	statue
ओल्ड	old
पोज	pose
रेक्स	racks
सेक्टर	sector
बॉल्स	balls
हेडफोन	headphone
वॉलपेपर	wallpaper
चैयर	chair
सोफों	sofa
सीरीज	series
ट्रांसपेरेंट	transparent
सेकंड	second
एंटीना	antenna
यूनिफार्म	uniform
ऑडियो	audio
जेट	jet
मिनी	mini
वोडाफोन	vodafone
प्रोडक्ट्स	products
होल्डर	holder
ऑफिसर	officer
क्रिस्चियन	christian
रेस्ट्रोरेंट	restaurant
पोल्स	poles
केफे	cafe
सेल्स	sales
पैक्ड	packed
बिल्डिंगस	buildings
वॉचमैन	watchman
मोटरसाइकिले	motorcycle
अकैडमी	academy
रिफ्लेक्शन	reflection
ऑल	all
स्कर्ट	skirt
लाइनें	line
चेक्स	checks
सीसीटीवी	c.c.t.v
इंडिगो	indigo
नाइस	nice
इक्विपमेंट्स	equipments
फ्लॉवर	flower
बोल्ट	bolt
वेल्डिंग	welding
अकादमी	academy
चेयरस	chairs
एक्वेरियम	aquarium
डेंटल	dental
स्विफ्ट	swift
ट्रैफिक	traffic
मशीनो	machine
ब्रांडेड	branded
पीच	peach
बॉक्सिंग	boxing
रेलिंग्स	railings
टेलीफोन	telephone
बिसलेरी	bisleri
लास्ट	last
स्केटिंग	skating
कैरम	carrom
इक्विपमेंट	equipment
लेडीसे	ladies
ब्रीज	bridge
प्लेयर्स	players
जैकेट्स	jackets
लाइक	like
क्यूट	cute
ग्रॉसरी	grocery
इमरजेंसी	emergency
जीसस	jesus
कारों	cars
कंप्युटर	computer
एयरोप्लेन	aeroplane
कोकोनट	coconut
सिंपल	simple
लीड	lead
इवनिंग	evening
कोलेज	college
सिंटेक्स	sintex
हेल्मेट	helmet
डिपार्टमेंट	department
एरो	arrow
कलेक्शन	collection
टेबलों	table
रुम	room
मैरेज	marriage
डिनर	dinner
पिल्लो	pillow
ड्रोवर	drover
बोनेट	bonet
कंपटीशन	competition
फाइलें	file
परफ्यूम	perfume
कंप्यूटर्स	computers
फाइल्स	files
बेंचेज	benches
डॉगी	doggy
कबड	cupboard
शूज़	shoes
हाॅल	hall
बोटिंग	boating
एग्जिट	exit
कन्स्ट्रक्शन	construction
स्पोर्ट	sport
लेडीजे	ladies
कर्टेन	curtain
गेरेज	garage
पाथ	path
लॉज	lodge
पोज़	pose
हाईलाइट	highlight
इंश्योरेंस	insurance
प्रे	pray
फार्मेसी	pharmacy
ट्रेने	train
मारुति	maruti
बिजी	busy
टाउन	town
एक्सीडेंट	accident
फोरव्हीलर	four-wheeler
फ़ास्ट	fast
अमेजिंग	amazing
हंड्रेड	hundred
बेंचे	bench
सेविंग	saving
स्पीकर्स	speakers
नेचर	nature
एंटीक	antique
कम्प्यूटर	computer
फ्रेम्स	frames
हौंडा	honda
लाइन्स	lines
फादर्स	fathers
फेडरल	federal
फ्रेंड	friend
सेंटा	santa
रिसर्च	research
रेस्टुरेंट	restaurant
गन	gun
एलोवेरा	aloevera
प्रिंटेड	printed
साइड्स	sides
ओप्पो	oppo
हॉर्लिक्स	horlicks
वेन	van
टाईल्स	tiles
इंजीनियरिंग	engineering
प्रोफेशनल	professional
सैंडल	sandal
लैम्प	lamp
डब्लू	w
बम्बू	bamboo
वॉकिंग	walking
एवरीवन	everyone
स्पीच	speech
बिस्किट्स	biscuits
बार्बर	barber
क्लॉथ	cloth
प्रिंटिंग	printing
मेंटेन	maintain
कोरोना	corona
मोल	mall
स्पा	spa
स्पीड	speed
रिसोर्ट	resort
आइडिया	idea
सेंट्रल	central
स्‍कूल	school
मीट	meat
वुडेन	wooden
मैनेजमेंट	management
लेक	lake
फूट	foot
चेअर	chair
चेर	chair
टॉवेल	towel
कनेक्शन	connection
पिक्स	pics
मेडल	medal
ट्रक्स	trucks
टाइले	tile
रैक्स	racks
डिजाइनदार	designer
लाइटिंग्स	lightings
डॉल्स	dolls
सलोन	salon
एक्सिस	axis
स्पेशल	special
फॉरेस्ट	forest
कनेक्ट	connect
शॉर्ट्स	shorts
जेंस	gents
ड्रॉवर	drawer
सेक्शन	section
बॉस	boss
शाॅप	shop
रेडीमेड	readymade
इंटीरियर	interior
अंडरवियर	underwear
मोमोज	momos
मैट्स	mats
ट्राउजर	trouser
लेटर	letter
